	g__Acidaminococcus	g__Acinetobacter	g__Afipia	g__Akkermansia	g__Anaerostipes	g__Bacillus	g__Bacteroides	g__Bifidobacterium	g__Blautia	g__Bosea	g__Bradyrhizobium	g__Caloramator	g__Campylobacter	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Dialister	g__Dorea	g__Enterobacter	g__Enterococcus	g__Eubacterium	g__Faecalibacterium	g__Haemophilus	g__Lachnospira	g__Lactobacillus	g__Methylobacterium	g__Micrococcus	g__Morganella	g__Oscillospira	g__Paenibacillus	g__Parabacteroides	g__Paraprevotella	g__Phascolarctobacterium	g__Phyllobacterium	g__Prevotella	g__Propionibacterium	g__Pseudomonas	g__Ralstonia	g__Roseburia	g__Ruminococcus	g__Salmonella	g__Streptococcus	g__Sutterella	g__Veillonella	g__Weissella
g__Clostridium	0.27797135268984	-0.163854827418137	-0.246138197170321	0.0772132448073697	0.147122004836973	-0.0135937298561863	0.311811370956002	-0.146250699345154	0.214860641676246	-0.25411854495504	-0.223487572478697	-0.370457359134604	-0.148317150398448	1	0.525056259913889	0.364036791899478	-0.0836363840893776	-0.0273363854135466	0.179371985861667	0.211732617607472	0.170342161842038	-0.0263952918537696	0.273770506444976	-0.328822242163797	0.384934097160676	-0.0347347505822883	-0.216972057636546	-0.317702206855097	-0.197429004578173	0.0320663990748487	-0.0895985537269716	0.297955820714979	0.407773075265419	0.399861861696791	-0.39128175196594	0.215558489658331	-0.304500175899569	-0.177200814936338	-0.285525500744535	-0.00768662325012446	0.0264744252614478	0.0150981184953936	-0.411455793250164	0.118743049118432	-0.125771242332696	-0.115870688410364
g__Collinsella	0.48092158827987	-0.0249615048490917	-0.200517476178471	-0.121552305102692	0.236792131559557	-0.183847627293113	0.0531025824355023	-0.268178301613265	-0.0398758004286084	-0.0788901772446717	-0.223241056649665	-0.280263053527611	-0.0307180474416541	0.525056259913889	1	0.342510739930297	0.132536602281171	0.0507788010062124	-0.132867300576764	-0.147786021326332	0.0206000645027648	-0.141583494042104	0.195971370644473	-0.284819467654778	0.342000636742981	-0.0944258934135038	-0.00597767274319779	-0.226641272857022	-0.073918471279715	0.318657577750709	-0.0412449537066112	0.343493293075849	0.305170149534629	0.311187387522205	-0.495668332986047	0.193216725317792	-0.0460701976903917	-0.340331107597324	-0.492697204780039	0.528325858619332	-0.253424482652215	-0.238292034721682	-0.266525358401003	0.22921575514023	-0.111845410875565	0.13458284772394
g__Coprococcus	0.191124990455376	-0.20432197090688	-0.142342123122807	-0.137168393570488	0.385409400928264	-0.241243477298036	0.419203335567404	-0.0645745709463416	0.334554455091006	-0.502237184260924	-0.413119379721303	-0.399561575172608	0.171940413921438	0.364036791899478	0.342510739930297	1	0.0132575922893254	0.293339905914076	0.647620619977657	-0.0766621472033407	-0.06924201766245	0.110380101991942	0.324206144820636	-0.00620955117431828	0.542768386481209	0.0520693193383196	-0.0293011490735061	-0.290724929011372	-0.0485908914013955	0.402198699938644	-0.123607005066189	0.000947112866891677	0.190291367724366	0.250955213285887	-0.564340658951657	0.539829143961239	-0.323161191645831	-0.37261320119099	-0.349803275122391	0.684251706341624	0.33855323822695	-0.243215392745471	0.047749428264394	0.170254100769734	-0.37920383407312	-0.300886031405979
g__Corynebacterium	0.0699778990687299	0.0291237205435407	-0.0905803641218754	-0.0874981542088538	0.10448157676057	-0.0797105281464412	0.250048627218794	-0.152539243131259	-0.0492787753573052	0.256534335590922	0.0443359542389906	0.288723947686584	0.244804080460548	-0.0836363840893776	0.132536602281171	0.0132575922893254	1	-0.271759449558306	0.0759626206338522	-0.0723093515812342	0.424023899613626	-0.367241462892692	-0.0744788764801926	0.270344981585749	0.181110972167395	-0.446376230699254	-0.247954334259073	-0.330669950769876	0.424723293224649	-0.130176655569372	0.0367176873306584	-0.00575130901861366	0.183074695096255	0.0412239972811694	0.107037035883653	-0.0162743836083633	-0.164815573472897	0.219215405862167	-0.214883055369253	0.0866190106933429	0.00766910544691445	-0.256360686003312	0.00935032620138701	-0.0790686009346828	-0.183327789346045	0.0688734351899372
g__Dialister	0.105593616256769	-0.303684290512363	-0.0338273189586777	-0.448988643913119	-0.196369052743254	0.315203760842705	-0.0801210149803784	0.350176377451303	0.0464148500355257	-0.258121916232017	0.0912030764147696	-0.27768130056014	0.257931262510596	-0.0273363854135466	0.0507788010062124	0.293339905914076	-0.271759449558306	1	-0.100500182622367	0.105861103816941	-0.29671619947954	0.233359492574539	0.309007795042409	-0.212009535042923	0.423536167225566	0.566216379002852	0.299520541833238	-0.0559586322412467	-0.0715390095014294	0.159707298964363	-0.0485065538448869	-0.0953221666035069	-0.0944203630048332	-0.511342088652069	-0.0238436931451626	0.547202404037172	0.112835801768231	-0.207529321943933	-0.365038688725021	0.2431881613098	0.0335193314655429	-0.0255897647642934	0.186997589935565	-0.445987434446315	-0.187819599884669	0.0379539033645012
g__Dorea	-0.182404716945022	0.148647167869402	0.0891440382672258	0.0569998046159963	0.334956913094966	-0.206133495343635	0.372130214604473	-0.0973419505292625	0.264311715320975	-0.107375507003608	-0.357150547143864	-0.234777818655165	-0.108199264271348	0.179371985861667	-0.132867300576764	0.647620619977657	0.0759626206338522	-0.100500182622367	1	-0.104888485486501	-0.0600919645328748	0.236075100899611	0.156086091407158	0.250106227179865	0.167817861317578	-0.0630447971053425	-0.341689505635509	-0.185248621053591	0.0399521536594738	0.210600259906913	-0.122725225471029	-0.0479343338883662	0.13640490692159	0.328926368002597	-0.0972163761347746	0.190099354972243	-0.389260565291093	-0.0438118894473117	-0.148006968602835	0.193808684003772	0.344319999121936	-0.0752840557273336	-0.0579700136441667	0.427057393264961	-0.32159065439553	-0.469272367455485
g__Enterobacter	0.177059298768586	-0.294699766141818	-0.192680795551157	0.132411920439516	-0.170392525463874	-0.00661152622783785	0.407777323598092	-0.252059121996732	0.144106074190738	-0.00147906501452107	0.231751966299015	-0.121088448532987	-0.0711460813276734	0.211732617607472	-0.147786021326332	-0.0766621472033407	-0.0723093515812342	0.105861103816941	-0.104888485486501	1	0.207490868103817	0.0432178729471183	-0.0996405009521701	-0.18506742129705	-0.122295115868346	0.204135622712268	0.119667845269231	-0.190672039003794	0.144673005481228	-0.159765140920631	0.32662690973337	-0.0073792779781446	0.10775024487792	0.000198827831802003	0.108209237633666	-0.21942853155687	-0.0277053970532898	0.362199089807334	0.111653411324642	-0.317152608037771	0.380351202739606	0.623533177457206	-0.230968282217648	-0.185649585132052	0.0155589588893408	-0.102330590923971
g__Enterococcus	0.222235871177457	-0.0874662095562731	-0.497601051462028	0.0403154689209059	0.174941304168447	-0.341454422995086	0.680843270621198	-0.209369163580488	0.456202285116835	0.188245379799579	-0.225897078952883	-0.0783246490293076	0.118347883346898	0.170342161842038	0.0206000645027648	-0.06924201766245	0.424023899613626	-0.29671619947954	-0.0600919645328748	0.207490868103817	1	-0.163212944803075	-0.251541200060295	0.145899807251024	0.280245387170884	-0.214131529469569	-0.343952476812522	-0.0361760050112286	0.25711870669366	-0.176946297242517	0.0582698181140734	-0.0506939800205454	0.154079297819621	0.175634051885108	-0.0486333788070376	-0.124982796110561	-0.212958729039299	0.39466989540145	0.0718374856309239	-0.0233073205102391	0.299229432636197	-0.243399639486299	-0.0212964546198502	-0.0997036247485822	0.44039561334297	0.0139118659043103
g__Eubacterium	-0.0750134605263525	0.00814039990001399	-0.157518241387901	0.0364793200051356	-0.439568988360654	-0.0771911471999734	-0.0491974060807175	0.0738158386133471	-0.0777303891639427	-0.0164686670662313	-0.0355403677752064	0.0274323195259349	-0.369339080251863	-0.0263952918537696	-0.141583494042104	0.110380101991942	-0.367241462892692	0.233359492574539	0.236075100899611	0.0432178729471183	-0.163212944803075	1	-0.0763517224938062	-0.0653352999064275	-0.069824602152962	0.29091444913437	0.0746766820321882	0.227334952885551	0.0666276076457156	0.276665558437467	0.0349285731150798	-0.0668785867039213	-0.164848556874999	-0.103532139116077	-0.177072508111869	0.0287021779945235	0.325683028569738	0.159048041526993	0.164034118265987	-0.156670356655462	-0.117754570450344	0.161053881821153	-0.0492345765535677	0.294933759917911	-0.0734589072856891	-0.129147498375053
g__Faecalibacterium	0.270238598613729	-0.095514486602194	0.0655590617438459	-0.211147098952103	0.184958642553707	0.158383634827717	-0.0495989711504294	0.140562654274916	-0.0879978787651494	0.012756377243146	0.0356360944087015	-0.205404891150007	0.16407342455764	0.273770506444976	0.195971370644473	0.324206144820636	-0.0744788764801926	0.309007795042409	0.156086091407158	-0.0996405009521701	-0.251541200060295	-0.0763517224938062	1	-0.108723508796106	0.562044454641509	0.084975105181065	0.106086432925013	-0.208445194348085	-0.266655468371536	0.322178481884601	-0.607074359909203	0.434875552480157	0.0116403996168619	0.00166850137182218	-0.182753424997376	0.665072205895092	-0.25247314314375	-0.372835377233972	-0.165829810243602	0.158148709952929	-0.00626748174755477	0.0140565971110471	0.0390112050028244	-0.160271441297579	-0.273101065552076	0.00661597258691566
g__Haemophilus	-0.0255695382101141	0.205137807424988	0.0540110467704432	-0.206102675653024	0.27245366106486	0.0160400404255692	0.0666893779587709	-0.036023312256901	-0.0509878004376484	0.0880822956236176	0.138213006872471	0.141151727362916	0.0728067274438297	-0.328822242163797	-0.284819467654778	-0.00620955117431828	0.270344981585749	-0.212009535042923	0.250106227179865	-0.18506742129705	0.145899807251024	-0.0653352999064275	-0.108723508796106	1	-0.0501549540391407	-0.0884307190028435	-0.103459914759565	-0.0291986564788491	0.332718438079501	0.153646332951536	0.0153290139054755	-0.154719660977812	-0.24688909417913	-0.0141676619889862	0.235851837816904	-0.0821022279280138	-0.219669881106736	-0.0641704361277871	-0.0208668605979298	0.0938617768823673	0.129140684587187	-0.183513063582317	0.0713540047599056	0.100757515801655	0.2810953701303	-0.420324501847221
g__Lachnospira	0.393972689046298	-0.381256914517999	-0.390849574349128	-0.411972022253471	0.320105367706486	-0.166294931038692	0.400703855070394	0.195726990750715	0.281668391067481	-0.250705630861506	-0.402991517167855	-0.480400560093976	0.333988262494597	0.384934097160676	0.342000636742981	0.542768386481209	0.181110972167395	0.423536167225566	0.167817861317578	-0.122295115868346	0.280245387170884	-0.069824602152962	0.562044454641509	-0.0501549540391407	1	0.0777880110595956	-0.182269135474008	-0.292530609006478	-0.0879524670962165	0.169367339789416	-0.449422339833628	0.142491808395425	0.267652070514793	-0.00591721171519764	-0.392262894675322	0.693864701262534	-0.373185937045802	-0.195221365148689	-0.464414824795285	0.442267580471275	0.114882674832213	-0.345837038642498	0.103774062654743	-0.264722279294135	0.00862003699705018	-0.000216226956290127
g__Lactobacillus	0.0957940568723938	-0.236499189388077	0.0588997160301229	-0.105749466461427	-0.295452456193363	0.163012385797386	-0.184124641272674	0.115940798751951	-0.0297721570539561	-0.166521775389937	0.354922214286398	-0.285721532797267	-0.233062147187899	-0.0347347505822883	-0.0944258934135038	0.0520693193383196	-0.446376230699254	0.566216379002852	-0.0630447971053425	0.204135622712268	-0.214131529469569	0.29091444913437	0.084975105181065	-0.0884307190028435	0.0777880110595956	1	0.232869917397725	0.0238030246628024	0.0223248847021585	-0.0823165152527671	0.114115183484073	-0.0394799843438769	-0.433690242078468	-0.229331919881447	0.176908797075175	0.22875752104314	0.222114428774519	-0.339583504473813	-0.0158908902237991	-0.0354761106161246	0.000318847346668347	0.108581160253995	0.31246378344898	-0.0700070654910096	0.0465452398139174	-0.148445261607654
g__Methylobacterium	0.00596796507042306	-0.259929162077323	0.497851128363307	-0.0387740017331842	-0.215671878388754	0.508841123366313	-0.444497754565086	0.0182665073585487	-0.230185321496843	-0.262087895062418	0.45979712015583	0.155661213134781	0.164923731976467	-0.216972057636546	-0.00597767274319779	-0.0293011490735061	-0.247954334259073	0.299520541833238	-0.341689505635509	0.119667845269231	-0.343952476812522	0.0746766820321882	0.106086432925013	-0.103459914759565	-0.182269135474008	0.232869917397725	1	0.152654917279063	-0.22376864311463	-0.0157017787885626	0.243364013718799	-0.301247369625085	-0.415275791297548	-0.291540574444803	-0.00574591683109691	0.151707110468059	0.646038771960395	-0.123081802079262	0.231240957202099	0.100306109271099	-0.0832196269993946	0.210011299103482	0.552478368423834	-0.217329610211587	0.0930124250252692	0.188746607635056
g__Micrococcus	-0.0486607252666156	0.265703386733763	0.0449979609670281	0.0941116012819918	-0.301441115196301	0.00394977956186695	-0.388650953747326	0.43791265047216	-0.231935916099182	0.304071330489988	0.070098731028901	0.257178968428758	-0.273975394821668	-0.317702206855097	-0.226641272857022	-0.290724929011372	-0.330669950769876	-0.0559586322412467	-0.185248621053591	-0.190672039003794	-0.0361760050112286	0.227334952885551	-0.208445194348085	-0.0291986564788491	-0.292530609006478	0.0238030246628024	0.152654917279063	1	0.205453389721722	-0.341851539936677	-0.0376455249916562	-0.244631059232128	-0.346931419320068	-0.272045651995017	0.319602324283468	0.0638477535846142	0.437003373271642	0.283066674428838	0.495379291316791	-0.146562458713448	-0.360664047137464	0.257438900637678	0.0965442736377267	0.0613049501443214	0.387094863332684	0.460986594417754
g__Morganella	0.212421970471167	0.24674648495926	-0.32915425087941	0.0192018834596747	-0.0592955738023275	-0.273611898993704	0.196553575647051	-0.0733026582701337	-0.32027167668426	0.203004043435587	-0.0535281810043468	0.273284798615761	0.0118640122490941	-0.197429004578173	-0.073918471279715	-0.0485908914013955	0.424723293224649	-0.0715390095014294	0.0399521536594738	0.144673005481228	0.25711870669366	0.0666276076457156	-0.266655468371536	0.332718438079501	-0.0879524670962165	0.0223248847021585	-0.22376864311463	0.205453389721722	1	-0.150599782297452	0.129206065535322	-0.259244612023633	-0.0082394036129187	-0.062908650967235	0.267298163098483	-0.168774048076622	-0.100587905132227	0.337570842688468	0.116699618891738	0.0668927333369675	-0.223950785425801	0.0757653329197013	-0.158129687664532	0.0147089041710251	-0.069108281677796	0.00468591070112577
g__Oscillospira	0.0850818534995273	0.0640613438849649	-0.17694347940189	-0.0809270660217686	0.327930898718012	-0.134482270344214	0.201508475829793	-0.290886593157782	0.127656373404579	-0.105726737968752	-0.198976486495543	-0.096671960961363	0.0768526118024808	0.0320663990748487	0.318657577750709	0.402198699938644	-0.130176655569372	0.159707298964363	0.210600259906913	-0.159765140920631	-0.176946297242517	0.276665558437467	0.322178481884601	0.153646332951536	0.169367339789416	-0.0823165152527671	-0.0157017787885626	-0.341851539936677	-0.150599782297452	1	-0.0874610167068701	0.402563296162998	0.103966628447116	0.245303235425007	-0.510566874724524	-0.0192679039637006	-0.194666954551496	-0.316035893722648	-0.254364261920848	0.451738670283703	0.199983937796639	-0.248623419428606	-0.31500617458211	0.362212123033939	-0.217051570796813	-0.415122386909404
g__Paenibacillus	-0.309551688780113	0.0607212938862676	0.286968987810257	0.384020392278214	-0.022282788983447	0.166549013377739	0.029048285018614	-0.17295755092249	0.0779074266839722	-0.235724404987111	0.143265622382002	0.280129594091346	0.044517165948992	-0.0895985537269716	-0.0412449537066112	-0.123607005066189	0.0367176873306584	-0.0485065538448869	-0.122725225471029	0.32662690973337	0.0582698181140734	0.0349285731150798	-0.607074359909203	0.0153290139054755	-0.449422339833628	0.114115183484073	0.243364013718799	-0.0376455249916562	0.129206065535322	-0.0874610167068701	1	-0.258968831414522	0.201314385941955	0.251604472136755	0.241321021366944	-0.5095045270007	0.457169045345742	0.218376040708487	0.212079521666441	-0.0236304645603138	0.094730782758609	0.17720756642116	0.16781384286561	0.191918878410225	0.106863813452383	-0.089476511135875
g__Parabacteroides	0.0531135327031916	0.122817500043742	-0.189765688367289	0.268701761822438	0.102796170665286	-0.133645172514742	0.0419532263593991	0.0770277157998065	0.0922686486546861	0.264233018994257	0.128382213124736	-0.0289359331742236	-0.124537155025013	0.297955820714979	0.343493293075849	0.000947112866891677	-0.00575130901861366	-0.0953221666035069	-0.0479343338883662	-0.0073792779781446	-0.0506939800205454	-0.0668785867039213	0.434875552480157	-0.154719660977812	0.142491808395425	-0.0394799843438769	-0.301247369625085	-0.244631059232128	-0.259244612023633	0.402563296162998	-0.258968831414522	1	0.291700328327871	0.287644642350371	-0.178351271982756	0.0623841513352979	-0.213326579861142	-0.361606962826418	-0.074381909095581	-0.0372210723033961	-0.000956865807083161	-0.127864542833322	-0.349793586969259	0.145833842617835	-0.232041391385113	0.00153334178784961
